,team,auc_x,off_auc_above_median,auc_y,def_auc_above_median
0,NO,3.193015725725359,-0.28086592340450967,3.664825808737964,-0.16340679774304911
1,CAR,3.2945989700733116,-0.17928267905655693,3.343542109096487,0.15787690189842785
2,HOU,3.3180336444426546,-0.15584800468721394,3.557996956322561,-0.05657794532764582
3,TEN,3.3303845210657648,-0.14349712806410375,3.573592844447272,-0.07217383345235717
4,NYG,3.3326869768743657,-0.14119467225550286,3.5961705783693234,-0.09475156737440837
5,ATL,3.3383587092442673,-0.13552293988560127,3.501925988196203,-0.0005069772012880058
6,MIA,3.3528272560281698,-0.12105439310169874,3.432533367489443,0.06888564350547188
7,GB,3.373437016543443,-0.10044463258642544,3.400938684953343,0.10048032604157209
8,PIT,3.3824185674287017,-0.09146308170116679,3.3961235588815155,0.10529545211339952
9,SEA,3.405791710372158,-0.0680899387577103,3.597261858726362,-0.09584284773144702
10,CIN,3.412716480550282,-0.06116516857958665,3.5453260219013965,-0.043907010906481414
11,SF,3.41877894966937,-0.055102699460498616,3.500912033793627,0.0005069772012880058
12,CHI,3.4198689280603873,-0.054012721069481184,3.4530972660934864,0.0483217449014286
13,DET,3.441337691348866,-0.0325439577810025,3.609499525653389,-0.10808051465847379
14,PHI,3.4583048858829946,-0.01557676324687396,3.111261462667794,0.3901575483271209
15,MIN,3.467549731384079,-0.0063319177457894504,3.459946111201483,0.04147289979343194
16,DAL,3.4802135668756584,0.0063319177457898945,3.4903906362194492,0.01102837477546581
17,NYJ,3.4888419855451103,0.014960336415241748,3.4551351674665014,0.04628384352841364
18,IND,3.4925402136743577,0.01865856454448922,3.504921279113625,-0.003502268118710017
19,LV,3.499168548003644,0.025286898873775332,3.362565285520581,0.13885372547433406
20,KC,3.5156936256926694,0.04181197656280089,3.5717952921362013,-0.07037628114128625
21,NE,3.5193345796623112,0.045452930532442704,3.6301785882228277,-0.12875957722791265
22,DEN,3.5425466750298362,0.0686650258999677,3.5319776957891436,-0.03055868479422852
23,JAX,3.546704070728238,0.07282242159836949,3.5255504604891374,-0.024131449494222412
24,BAL,3.5566410602385568,0.08275941110868823,3.5235812460287823,-0.022162235033867272
25,WAS,3.5662620896827595,0.09238044055289096,3.3209751373946577,0.18044387360025738
26,CLE,3.5773452400652674,0.10346359093539892,3.34863739262524,0.15278161836967508
27,TB,3.5838357660187143,0.10995411688884582,3.515864306008798,-0.01444529501388292
28,LA,3.593109226792064,0.11922757766219538,3.477763502790747,0.02365550820416784
29,LAC,3.6114266955068914,0.13754504637702292,3.53989721885939,-0.03847820786447498
30,BUF,3.639325385207954,0.16544373607808538,3.386237268997283,0.11518174199763198
31,ARI,3.8746245565543145,0.40074290742444596,3.3718695914688994,0.12954941952601562
